ResearchCenter,Researcher,Topic
IOTTP,"Rizka Wakhidatus Sholikah, Dr.S.Kom.","Computer Science and Engineering, with particular expertise in user Interface, mobile App, data Seconds, early Detection, jaccard similarity, memory Performance, thesaurus Construction, creation of Institutions, topic Modeling, natural Language Processing, marking Parts of Speech, network Protocol, gradient Descent, vGG-, queuing system, internet of Things, special Material 2., microcontroller, ozon(O3), and energy Use."
IOTTP,"Hudan Studiawan, S.Kom., M.Kom., Ph.D.","Computer Science and Engineering, with particular expertise in malicious Activity, timeline Analysis, sentiment Analysis, annotation, future Directions, authentication, structured Query Language, note Data, performance Evaluation, digital Forensics, bidirectional Long Short-Term Memory Networks, cybersecurity, unmanned Aerial Vehicles, superior Performance, service Quality, difference Value, named Entity Recognition, auto Encoder, decomposition, attacker, decision Tree, brute Force Attack, intrusion Detection System, learning System, steganography, case study, honey place, genetic Algorithms, medical Data, humming, electric Power Distribution, feature Extraction, test Image, mean Square Error, similarities, microcontroller, route Optimization, image Processing, absolute Difference, key points, sample Space, closed Circuit, integer Transformations, volume Cairan, and time Digital."
IOTTP,"Subchan, Prof., S.Si., M.Sc., Ph.D.","Engineering, with particular expertise in degrees of Freedom, lift Movement, surge Movement, carbon Footprint, impact Strength, autonomous Underwater Vehicle, hydrodynamic Coefficients, remote Control, slide Mode Control, optimization Problems, research Work, land Use, collision Avoidance, horizon Predictions, drive System, pitch Angle, and moving Target."
IOTTP,"Adithya Sudiarno, Dr., S.T., M.T.","Computer Science, Engineering, and Social Sciences, with particular expertise in congestion Problem, customer Relationship Management, direct Simulation, driving Behavior, environmental Variable, grid Analysis, health Care, human Performance, migration Effort, network Performance, potential Application, strategic Model, training System, workplace Accident, added Activity, building Evacuation, central System, development Process, filter Drum, final Result, internals, machine Tool, main Target, major Overhaul, nASA, process Flow, quality Control, rise Building, statistical Data, warehouses, buying Behavior, cOVID 19 Epidemic, covid-, confirmatory Factor Analysis, construction Industry, electroencephalography, employee Engagement, indonesia, know How, legislation, life Cycle, occupational Health, occupational Safety, rest Period, road Construction, and state Owned Enterprise."
IOTTP,"Hatma Suryotrisongko, S.Kom., M.Eng., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in mobile App, monolithic Architecture, indonesian: Android, bayesian Classification, smart City, help Desk, citizen Complaints, emotional Behavior, design Patterns, business Process, network Protocol, twitter, xGBoost, dIY, stub, parts of body, architectural Design, test Results, road Accidents, waterproof coating, energy Use, driving Simulator, engineering Energy, success Rate, and service Life."
IOTTP,"Suyanto, Dr., S.T., M.T.","Computer Science and Engineering, with particular expertise in authentication, frequency Domain, geographic Information, background Noise, reconfigure, digital Signal Processing, fourier Transform, head part, security level, clean water, root Mean Square, algorithm Control, human-Machine Interface, electrical Energy, renewable energy, synchronous Generator, active Distribution Network, power Flow Optimization, panel Surya, hysteresis Comparator, power plants, energy Storage, linear Fresnel Reflector, rice Husk, speech Signals, level Control System, electrical Power Engineering, and ride Time."
IOTTP,"Ruri Agung Wahyuono, Dr. rer. nat., S.T., M.T.","Materials Science, Chemistry, and Engineering, with particular expertise in al2O, aluminium, x-Ray Diffraction, fotosensitizer, density, carrier Concentration, single layer, heavy metal, microplastics, surface (Surface Science), optical Properties, nitride compounds, chemical Synthesis, sodium, thermochromic, titanate, uric Acid, nano Materials, bipiridine, the Exciting State of Electronics, chronoamperometers, pink, methylene Blue, paper-Based Analysis Tools, band Gap, hydraulic Diameter, computational Fluid Dynamics, renewable energy, irradiation, cell Performance, glucose Concentration, fuzzy Logic Control, barrier Coating, initial treatment, natural Dyes, frequency Response, rice Husk, fuel Cell, silicon Dioxide, fourier Transform, what can be observed, zirconia Stabilized by Yttria, and funny."
IOTTP,Wisnu Wardhana,
IOTTP,"Adhi Dharma Wibawa, Dr., S.T., M.T.","Computer Science and Engineering, with particular expertise in machine Learning Algorithms, topic Modeling, rehabilitation Program, identification System, case study, nave Bay, electronic government, noise Artifacts, the inside part, early Detection, binary Digits, time Domain, electroencephalography, image of Irises, natural gas, infrastructure, video camera, daily Life, similarities, pearson Linear Correlation Coefficient, absolute Value, filtering, moon Period, management Chain, virtual Reality, game Level, and severity Level."
IOTTP,"Widiyastuti, Prof., Dr. Eng., S.T., M.T.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in catalytic Activity, aluminium, enzymatic Hydrolysis, cathode, nanoparticle Silica, composite Particles, sodium, come Left, supercapacitor, znO, clean water, crystallinity, dynamic Method, pusher, oxygen Reduction Reaction, nano Fiber, coconut Fiber, precursor Solution, organic Acids, calcination, functional Groups, colloid, critical Micelle Concentration, mesoporous, spray Burning, absorption, zeta Potential, and young nano."
IOTTP,"Widyastuti, Dr., S.Si., M.Si.","Materials Science and Engineering, with particular expertise in analysis Thermogravimetry, he loves, stainless steel, barium, bond Strength (Material), density, morphology, indentation Hardness Testing, come Left, crystal Structure, titanium Dioxide, sensor Applications, dihydrogen Ammonium Phosphate, discrete Elements, rotation Speed, loss of Reflection, the Power of Obstacles, elasticity Problem, deep Drawing, mixing Machine (Machine), simulation Method, mass Production, recycling Process, fire Spray, sensor Gas, microstructure, temperature Time, moles, and hold Time."
IOTTP,"Alief Wikarta, S.T., M.Sc.Eng., Ph.D.","Engineering, with particular expertise in genetic Algorithms, capacitor Bank, bioethanol, humming, filter Design, field Elasticity, hybrid Energy, renewable energy, test Road, structural Strength, elliptical Hole, routing problem, cold Start, parameter Geometris, transfer Learning, fuzzy Logic Controller, environmental Testing, engineering, spur Gear, and cooling System."
IOTTP,"Wirawan, Dr., Ir., DEA.","Computer Science and Engineering, with particular expertise in field Programmable Gate Arrays, crash Detection and Recovery, experiment Results, broadband Network, adaptive Modulation, bandwidth Utilization, facial Recognition, network Coding, denial of Service Attacks, mobile System, water mark, telecommunication, discrete Cosine Transform, localization algorithm, maximum merge ratio, fragile watermark, motion Field, nonlinear Distortion, autocorrelation Function, simulation Results, test Results, motor Speed, cooperative, cross correlation, secret Key, channel Model, direct Current Motor, high Power Amplifier, deployment, joints (Structural Components), knot, the Sensory Sim, communication System, engineering Energy, bit Error Rate, and coherence Time."
IOTTP,"Ahmad Zaini, S.T., M.T.",
IOTTP,"Mochamad Zainuri, Dr., Drs., M.Si.","Materials Science and Engineering, with particular expertise in barium, film, surface Roughness, density, modulus of Elasticity, reduced Graphene Oxide, dilution, surface (Surface Science), poly Methyl Methacrylate, physical Properties, sodium, come Left, contact Angle, titanium Dioxide, absorbent Materials, radar Absorbing Material, band Gap Energy, test Results, loss of Reflection, conductive, gas Flow Rate, aluminum Matrix, mixing Solutions, network Analyst, hydrogen Dilution, sound Absorption, pita, steel Plate, sol-Gel Process, molar Ratio, solar Cells, glass Substrate, and water Contact Angle."
MTL,"Ervina Ahyudanari, Ir., ME., Ph.D.","Social Sciences and Engineering, with particular expertise in ecotourism, indonesia, market share, local government, regional Development, long Distance Travel, potential Conflict, tourism Sector, literature Review, artificial Aggregates, alkaline Activator, remote area, exhaust Gas, road, mass Loss, good Durability, support Vector Machines, global warming, power plants, level Flight, alternative Binder, concrete Surface, density Polyethylene, vacuum space, slip Resistant, and starting Point."
MTL,"Dewanti Anggrahini, S.T., M.T.","Computer Science, Social Sciences, and Engineering, with particular expertise in clustered Data, practical Implications, product Services, software Model, ontology, k-Means Clustering, computer Hardware, dynamic Behavior, sharing System, industry Standards, quest Level, parking lot, price, indonesia, motor vehicle, program Management, national Development, analytical Hierarchy Process, literature Review, systematic Review, small and medium enterprises, the inside part, round shape, epistemic Uncertainty, building Construction, smart Manufacturing, metode Kaizen, producing country, manufacture of Gas Fuel, remake, manufacturing Company, hygienic Products, manual Process, making process, selection Process, modern System, maintenance Strategy, and waiting time."
MTL,"I Made Ariana, Prof., Dr., S.T., M.T.","Engineering, with particular expertise in comparative Analysis, fossil Fuels, propeller, acoustic Emissions, engine room, tugboat, modular Construction, oil Consumption, dual Fuel Engine, diesel Engine, methane, safe Operation, ports and Piers, breakwater, open Water, channel, single Cylinder, fuel System, automatic Identification System, stabilizer, and numerical Studies."
MTL,"Niniet Indah Arvitrida, S.T., M.T., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in optimization Algorithm, network Design, influence Factors, total Distance, blood Supply Chain, matching Strategy, indonesia, conceptual Framework, bank Performance, consumer Behavior, literature Review, electric Vehicles, developing country, stuffing, recovery Process, peak hour, parts, total Profit, mobile Unit, and service Time."
MTL,"Mochamad Ashari, Prof., Dr., Ir., M.Eng.","Engineering, with particular expertise in genetic Algorithms, firefly Algorithm, partial Shadow, reactive Power, radial Distribution, renewable energy, dC-to-DC converter, induction Motor, compressed Air Motor, particle Swarm Optimization, diesel Power Plant, fuzzy Logic Controller, constant Voltage, engineering Energy, hybrid Power, fixed Point, and vertical Axis Wind Turbine."
MTL,"Dyah Santhi Dewi, S.T., M.Eng.Sc., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in frequency Analysis, indonesian: Android, attraction, group Discussion, personal Factors, feature Information, food Consumption, member Ratings, fast Development, company Size, research purposes, social Economics, consumer Needs, basic needs, educational institutions, city government, service Provider, purchase Behavior, life cycle, square Analysis, ergonomics, road, state of Design, modular Concept, related Concepts, mathematical Model, and policy maker."
MTL,"Mohammad Khoirul Effendi, S.T., M.Sc.Eng., Ph.D.","Engineering, with particular expertise in genetic Algorithms, computer Aided Design, full Factorial Design, experimental Design, feeding Speed, real life, remotely Operated Vehicles, routing problem, diesel Engine, direct Current Motor, compressed Air Motor, particle Swarm Optimization, ant Colony Optimization, drilling Parameters, minimum Quantity Lubrication, wire Electrical Discharge Machining, numerical Approach, milling (Machining), edge Milling, hydrogen Storage, relational, and learning System."
MTL,"Sutopo Purwono Fitri, S.T., M.Eng., Ph.D.","Engineering, with particular expertise in phase Change Materials, coastal Area, measurable Data, high Power Electronics, eutectic, hydrodynamics, flow Speed, natural Convection, closed Circle, reverse Osmosis, rotor, and engineering Energy."
MTL,"Raja Oloan Saut Gurning, Prof., S.T., M.Sc., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in business Interruption, practical Implications, social Implications, community Resilience, traffic Control, service Traffic, the Scale of Disaster, scientific Studies, human Resources, eighteenth century, natural Disasters, ecotourism, boat, motor vehicle, guide, electrical Supply, city government, locking, domestic Trade, international Trade, government Program, markov Chain, in-depth Interview, security Aspects, alternative Fuels, computational Fluid Dynamics, surveyor, real life, main Components, model Problems, methods and Tools, multi-Criteria Decision Making, quantitative Risk Assessment, national Regulations, moon Period, critical Event, conditional Probability, automatic Identification System, rake Angle, and engineering Energy."
MTL,"Nur Ahmad Husin, Dr., S.T., M.T.","Materials Science and Engineering, with particular expertise in sodium, alkaline Activator, luggage, test Results, japan, active Mortar, porosity, and case Scenario."
MTL,"Putu Dana Karningsih, S.T., M.Eng.Sc., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in cause and Effect Circle Diagram, efficiency Line, feedback Loop, market Environment, change Management, capital Investment, printer, inline Assembly, operational Procedures, knowledge Based Systems, processing time, work Culture, democracy, indonesia, internet of Things, developing country, national Development, system Expert, systematic Review, inventory Analysis, analysis of Failure Modes and Effects, radar Chart, associated Fees, product Redesign, design to Manufacture, electric Power Distribution, customer Expectations, reciprocal relationship, high Water Content, main Characteristics, building Construction, particle Swarm Optimization, manufacture of Gas Fuel, remake, quantitative Approach, optimization Approach, assembly Line Balancing, hygienic Products, distribution Channels, room Temperature, and waiting time."
MTL,"Nani Kurniati, S.T., M.T., Ph.D.","Computer Science and Engineering, with particular expertise in annotation, approximation (Algorithm), training Dataset, exact Orthogonal Decomposition, industry 4., long Short Term Memory Network, reliability Characteristics, butterfly Valve, root Mean Square Error, relationship Management, support Vector Machines, basic Method, forecasting Methods, semisupervised Learning, feature Map, analytical Hierarchy Process, supply Chain, gray System, case study, acceptance Rate, inventory costs, control Limits, excavator, quality Loss Function, reciprocal relationship, electric Vehicles, operational Conditions, remote Control, policy Control, operational Characteristics Curve, asset Management, smart Manufacturing, illustrate, response Surface Method, centralized Maintenance, demand Forecast, towing Plane, combination Products, flexible Process, life cycle, modern System, production System, and parts."
MTL,"Rindi Kusumawardani, S.Si., M.Sc.","Medicine and Dentistry and Engineering, with particular expertise in additional Activities, analysis of Failure Modes and Effects, fault Tree Analysis, danger, ground Support, remote Control, check Sheet, hazard Control, cost Reduction, supporting Equipment, important Changes, manufacturing Company, standard Operating Procedures, security Risks, and strategy Control."
MTL,"Machsus, Dr., S.T., M.T.",
MTL,"Diesta Iva Maftuhah, S.T., M.T.","Computer Science, Earth and Planetary Sciences, and Engineering, with particular expertise in audit Information, behavior Pattern, business Process, electronic Learning, engineering Student, enterprise Resource Planning, integer-Linear Programming, language Modeling, learning Process, on-Line Education, open Source, simulation Approach, single Case Study, software Testing, tracing Information, class diagram, indonesia, literature Reviews, population Growth, water Supply, applicability, automotives, infrastructure, internals, lead Time, manufacturing Process, phase Modeling, policy Maker, process Improvement, product Gas, and redesign."
MTL,"Achmad Mustakim, S.T., M.T., MBA","Earth and Planetary Science, Social Sciences, and Engineering, with particular expertise in nutrition Policy, environment, land Disposal, impact of Human Activities, basic needs, government Program, area Control, road, complex Networks, sulfur content, financial performance, optimization Methods, metric, shipbuilding, city Planning, coal Mining, operational Company, ten Years, knot, global Standard, security Level, damage Level, and production Time."
MTL,"Eko Nurmianto, Dr., Ir., M.Eng.Sc",
MTL,"Bambang Pramujati, S.T., M.Sc.Eng., Ph.D.","Engineering, with particular expertise in algorithm Control, cooling Flow, stability Analysis, surface Part, delamination, experimental Design, experiment Results, simulation Results, performance Characteristics, flow Speed, injection Speed, feeding Speed, cutting Speed, spindle Speed, feed Speed, cutting Power, layer Thickness, reconfigure, remote Control, slide Mode Control, predictive Control, flow Rate, relayer, closed Circle, control Matrix, metode Taguchi, multiobjective Optimization, process Parameters, minimum Quantity Lubrication, edge Milling, face Grinding, image Processing, path Planning, relational, system Control, nonlinear Systems, strategy Control, melting Temperature, material Removal Rate, fixed Point, and set point."
MTL,"Sri Rejeki Wahyu Pribadi, S.T., M.T.","Engineering, with particular expertise in stability Analysis, light Load, energy Efficiency, energy Conservation, and engineering Energy."
MTL,"I Nyoman Pujawan, Prof., Ir., M.Eng., Ph.D., CSCP","Computer Science, Engineering, and Social Sciences, with particular expertise in human Performance, trucking Company, arrival Time, closed Loop, demand Forecasting, environmental Technology, global Warming, joints (Structural Components), key Parameter, model Chain, quality Function Deployment, safety Factor, scaling Factor, single Buyer, spot Market, warehouses, cOVID 19 Epidemic, covid-, carbon Tax, competitive Advantage, indonesia, information Exchange, literature Reviews, lot Sizing, risk Management, sales, and sierra Leone."
MTL,"Hafidz Ridho, S.T., M.Sc., MBA.","Computer Science and Engineering, with particular expertise in decision Maker, decision Maker, material Flow, and safety Factor."
MTL,"Ahmad Rusdiansyah, Prof., Dr. Eng., Ir., M.Eng., CSCP, CLTD","Computer Science, Engineering, and Social Sciences, with particular expertise in acceptable Solution, contract Model, discrete Event Simulation, exact Algorithm, experimental Result, genetic Algorithm, planning Horizon, total Distance, traveling Salesman Problem, vending Machine, vendor Managed Inventory, battery (Electrochemical Energy Engineering), cost Reduction, delay Time, dwelling, economic Dispatch, fuel Cost, infrastructure, internals, joints (Structural Components), microsoft Excel, mixed-Integer Linear Programming, nodes, objective Function, periodic Time, preventive Action, railway, refrigerated Container, signal Line, temperature Distribution, visual Basic, automotive Industry, bus, development of Science, health Care Delivery, lot Sizing, maritime Transport, markov Chain, sales, ships, and stochastics."
MTL,"Moses Laksono Singgih, Prof., Ir., M.Sc., Ph.D.","Computer Science, Engineering, and Social Sciences, with particular expertise in conventional Learning, creation Process, decision Making Trial and Evaluation of Laboratory, driven Activity, education Institution, feature Information, frequency Analysis, goal Programming, group Discussion, hungarian Algorithm, layer Approach, machine Learning, monetary Value, negative Review, operations Research, product Requirement, programming Method, random Assignment, sized Enterprise, type Systems, alternative Product, automotives, circular Economy Concept, circularity, customer Expectation, key Performance Indicator, network System, optimization Approach, particle Swarm Optimization, product Quality, product Variant, production System, steel Pipe, basic Needs, community Service, consumer Need, culture of Work, indonesia, industrialisation, literature Reviews, management Approach, national Cultures, private University, six Sigma, stakeholder, subcultures, teaching Research, technology Development, technology Park, transport, and user Satisfaction."
MTL,"Totok Soehartanto, Dr., Ir., DEA.","Engineering, with particular expertise in measuring instrument, performance Analysis, systems Analysis, control Design, simulation Results, product Quality, output Layer, input Layer, sensor Release, response Surface, dynamic Process, recovery Process, system Control, power Control System, monitoring System, measurement System, strategy Control, and process Variables."
MTL,"Suhardjono, Prof., Dr-Ing., Ir., M.Sc.","Materials Science and Engineering, with particular expertise in factorial Design, silicon carbide, machinery, reinforced Plastic, genetic Algorithms, aluminum Oxide, experimental Design, resonance Frequency, pleasant vibes, artificial Neural Networks, spindle Speed, feed Speed, hidden Layer, automotive, drilling Parameters, minimum Quantity Lubrication, relational, and material Removal Rate."
MTL,"Dwi Ratna Sulistyaningrum, Dr., S.Si., M.T.","Computer Science and Engineering, with particular expertise in average Accuracy, k-Nearest Neighbor Algorithm, biometrics, vehicle Detection, in between, hadoop Ecosystem, light Intensity, surveillance Camera, quantum Computing, traffic Conditions, fucking Elliptical, classification Methods, reliability Value, digital Video Processing, parallel Computation, case study, threshold Level, hough Circle Transformation, image encryption, frequency Section, aircraft Parts, image Field, radial Basic Functions, image of Irises, image Resolution, camera Movement, heavy rain, road, character Introduction, amplifier Yes, image Filtering, and data preprocessing."
MTL,"Erma Suryani, Prof., S.T., M.T., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in knowledge Base, retail Business, data Seconds, influencing Factors, causal Relationships, private vehicle, customer Satisfaction, analysis Context, software Developer, information Systems, deep Learning Techniques, network Analysis, sharing Knowledge, regional Economics, indonesia, incentives, traffic congestion, independence, food security, inventory Management, tour Packages, market share, household Income, scenario Development, theoretical Perspective, legislation, cell phone, oil Production, restructuring, procurement System, fossil Fuels, logistics Costs, numerical Example, flow diagram, renewable energy, greenhouse Gases, reciprocal relationship, financial Incentives, asset Management, design Science Research, performance Improvement, consumer Behavior, relative Sensitivity, photonic Crystal Fiber, and engineering Energy."
MTL,"Iwan Vanany, Prof., S.T., M.T., Ph.D.","Computer Science, Engineering, and Social Sciences, with particular expertise in bibliometric Analysis, blood Supply Chain, complex Process, criticality, decision Variable, distribution System, fossil Fuel, infrastructure, internals, lead Time, numerical Example, oil Company, shipbuilding, total Profit, warehouses, cOVID 19 Epidemic, decision Making Trial and Evaluation of Laboratory, food Industry, health Care Delivery, indonesia, literature Reviews, risk Management, and trading Company."
MTL,"Arif Wahjudi, S.T., M.T., Ph.D.","Materials Science and Engineering, with particular expertise in medical Devices, composite Materials, electrical Materials, material Class, friction Coefficient, phase Composition, metode Taguchi, synthetic Fiber, torture, genetic Algorithms, primary Fuel, inverted Pendulum, degrees of Freedom, thermodynamic Efficiency, pilot Injection, artificial Neural Networks, jet Speed, mean Square Error, hidden Layer, parallel Manipulator, steam Generator, linear Programming, engine Performance, robot, computer Simulation, numerical Studies, dead Corner, water Turbines, and load Variations."
MTL,"Raden Sjarief Widjaja, Ir., Ph.D.",
MTL,"Erwin Widodo, Dr. Eng., S.T., M.Eng.","Economics, Econometrics and Finance, Engineering, and Social Sciences, with particular expertise in bundling Strategy, corporate Planning, data Analytics, electronic Banking, financial Institution, fintech, health Behavior, local Government, new Product Development, partial Least Squares Structural Equation Modeling, sME, shapley Value, switching Behaviour, bulk Liquid, closed Loop, daily Life, joints (Structural Components), main Factor, maintenance Strategy, manufacturing Company, market Price, material Flow, nash Equilibrium, nickel Deposits, oil Company, optimization Approach, particle Swarm Optimization, payback Period, preventive Maintenance, principal Value, process Logistics, production Planning, recovery Process, sampling Technique, stochastic Parameter, warehouses, wastewater Treatment, bibliology, computer Simulation, indonesia, latent Variable, lot Sizing, sales, and user-Behaviour."
MTL,"Irwan Tri Yunianto, S.T., M.T.","Computer Science, Social Sciences, and Engineering, with particular expertise in software Design, public transport, indonesia, basic needs, coastal Area, main Factors, oil Price, road, delivery Line, sulfur content, limitations, financial performance, simulation Method, power plants, operational Company, ten Years, and global Standard."
STKK,"Ira Mutiara Anjasmara, S.T., M.Phil., Ph.D.","Earth and Planetary Science and Engineering, with particular expertise in gravitational Anomaly, the atmosphere, deformation is required, line of Sight, aftershocks, mud Mountain, indonesia, total Electron Content, support Vector Machines, time Series, sudan, tomography, comparative Analysis, infrastructure, rainy season, and deployment."
STKK,"R. Haryo Dwito Armono, S.T., M.Eng., Ph.D.","Earth and Planetary Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in rip Current, batimeter, coastal Ecosystem, beach Erosion, tsunami Wave, indonesia, kWS. INDUSTRY, coastline Changes, pulau, arrival Time, agar, media Culture, mangrove Forest, pen, conservation Area, natural stone, block Concrete, bridge Pier, ocean Energy, histogram, petroleum Industry, scour Depth, protective Layer, deep Learning Methods, offshore Oil, naval base, protected Beaches, fine Sand, ports and Piers, coastal Protection, offshore Platform, armor Unit, semen Portland, knot, tilt Angle, marine Engineering, and solution Engineering."
STKK,"Wasis Dwi Aryawan, Ir., M.Sc., Ph.D.","Engineering, with particular expertise in still Water, finite Element Analysis, table Form, remote area, roll Movement, hydrodynamics, semi-submersible submarine, resistance Characteristics, remotely Operated Vehicles, loading Conditions, tank Ship Models, reinforced Plastic, life Fatigue Prediction, solar Cells, fire Resistant, success Rate, and slim Body."
STKK,"Filsa Bioresita, Dr., S.T., M.T.","Engineering, with particular expertise in rainwater, photogrammetry, backscatter, indonesia, forest fires, unmanned Aerial Vehicles, smoking, mesin Google Earth, guardian-, french, phase Difference, pilotless Plane, pita C, polarimeter, suspended Sediment, and time Series."
STKK,"Yanto Budisusanto, S.T., M.Eng.","Earth and Planetary Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in state-owned enterprises, coral reef, satellite Imagery, deformation is required, system Dynamics, aerial Photo, contour Lines, geovisualization, indonesia, kWS. INDUSTRY, land registry, protected Area, valuation Method, creation of grids, urban Planning and Development, population Growth, peta Relief, physical Processes, samudra India, ricefield, tectonics, indigenous Peoples, case study, operating costs, dangerous Area, surveyor, metric Camera, map Location, classification Methods, pairwise Comparison Method, deformation Model, motion Model, field Measurements, horizontal Shift, natural Process, control Point, latest Trends, and flight Time."
STKK,"Mokhamad Nur Cahyadi, Prof., S.T., M.Sc., Ph.D.",
STKK,"Agung Budi Cahyono, S.T., M.Sc., DEA.",
STKK,"Wimala Lalitya Dhanistha, S.T., M.T.","Materials Science and Engineering, with particular expertise in low Carbon Steel, hyperbaric Welding, macro Structure, cooling Water, comparative Analysis, chart Presidents, security Case, base Metal, performance Improvement, steel Plate, as Low as Reasonable and Practical (Process Safety), jacket Structure, numerical Studies, equivalent Voltage, minimum Yield Pressure, engineering Energy, self-Propelled Modular Transporter, and bending Test."
STKK,"Endarko, Prof., M.Si., Ph.D.","Materials Science, Medicine and Dentistry, and Engineering, with particular expertise in al2O, cathode Material, film, rubber, finite Difference Method, morphology, waveguide, photoelectrochemical Water Separation, three Dimensional Printing, perak, polyethylene Glycol, in polylactide, polymorphism, come Left, fourier Transform Infrared Spectroscopy, quantum Dots, voltammetry Glides, zirconia, silicone, dada, patient Data, insulin Dependent Diabetes Mellitus, dosimeter Film, thermoluminescent Dosimeters, low Drug Dosage, absorbed dose, histogram Dosis-Volume, breast Tissue, non-Small Cell Lung Cancer, medication Adherence, glycemic Control, mammography, mastectomy, neoplasm, a few-a few, right Lung, pediatricians, brain Imaging, thoracic Disease, silastic, gaussian language, desalination, light Diffraction, field Distribution, two Dimensions, photodiode, logic Gates, activated Carbon, carbon Black, microcontroller, error Value, paraffin, ion Exchange, one Step, biological sensors, sterilization, current Source, crosslinking, engineering Energy, crystal Size, and total Variation."
STKK,"M. Haris Miftakhul Fajar, S.T., M.Eng.",
STKK,"Imam Wahyudi Farid, Dr. Eng., S.T., M.T.",
STKK,"Yoyok Setyo Hadiwidodo, S.T., M.T., Ph.D.","Engineering, with particular expertise in analisis Pushover, the inside part, propeller, earthquake Load, environmental Burden, computational Fluid Dynamics, shell Element, jacket Platform, delivery Line, fishing Vessel, ocean Thermal Energy Conversion, numerical Model, porosity, dental System, equivalent Voltage, and hot Spot."
STKK,"Hepi Hapsari Handayani, S.T., M.Sc., Ph.D.",
STKK,"Noorlaila Hayati, Dr.-Ing., S.T., M.T.","Earth and Planetary Science and Engineering, with particular expertise in river water, the atmosphere, batimeter, phytoplankton, backscatter, indonesia, soil Moisture, concentration (Value), atmospheric Correction, peatlands, digital Terrain Model, suspended Sediment, mud spray, time Series, fishing Spot, coral reefs, vulnerable Area, temperature Data, numerical Studies, and turbine."
STKK,"Ronny Mardiyanto, S.T., M.T., Ph.D.","Computer Science and Engineering, with particular expertise in external Actors, shift Algorithm, robotics Applications, developing Economy, convolutional Neural Networks, position Error, good Performance, voice Communication, manipulator, estimation Method, odometers, particle Swarm Optimization, template Matching, structural Equations, camera Position, traceability System, color features, face image, path planning, multiobjective Genetic Algorithms, finite Element Analysis, baterai Lithium-Ion, humming, pictures Taken, harmonic, experiment Results, electric Vehicles, dC-to-DC converter, upgrade Converter, human Eye, direct Current Motor, maximum Power Point Tracking, picture Introduction, battery Charger, inertial Measurement, rotor, units of Measurement, duty Cycle, and constant Voltage."
STKK,"Putra Maulida, S.T., M.T., Ph.D.","Earth and Planetary Science and Engineering, with particular expertise in tension Analysis, deformation is required, el Nino-Southern Oscillation, line of Sight, total Electron Content, warfare, the Nina (The Nina), creation of grids, remote Sensing, risk Reduction, land subsidence, spatial Resolution, block Rotation, samudra India, time Series, geographic Information System (GNSS), solar Flare, data GPS, field Measurements, horizontal Shift, and right time."
STKK,"Mukhtasor, Prof., Ir., M.Eng., Ph.D.","Earth and Planetary Science and Engineering, with particular expertise in failure Analysis, batimeter, natural Disasters, indonesia, water Depth, continental Shelf, acoustic Method, marine Organisms, direct Power Generation, port Development, ecological Risk Assessment, marine Drain, time Series, geographic Information System (GNSS), side Scanning Sonar, water Quality Standards, biological Survey, persian Gulf, oil Spill, temporal Variation, moving Water, the inside part, tidal Energy, renewable energy, regular Wave, synchronous Generator, rotational Motion, hydraulics, human Health, line Tension, tank Ship Models, corrosion Protection, sewer, belay System, supporting Structure, engineering Energy, mechanical Energy, turbine, hydrokinetic Turbine, closed, and step Size α."
STKK,"Ahmad Nasirudin, S.T., M.Eng.","Engineering, with particular expertise in bow Shape, greenhouse Gases, skin Friction, inland Waterways, monohull Ship, around, remotely Operated Vehicles, good deal, dirt, local Leather, nomor Froude, particle Swarm Optimization, biological fouling, step Change, water Piping System, parametric Studies, sink, and high Roughness."
STKK,"Herman Pratikno, Prof., Dr., S.T., M.T.","Materials Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in he loves, carbon Steel, low Carbon Steel, cathode, density, morphology, hyperbaric Welding, agar, brackish water, body Water, boyulasi, avicennia bird, avicennia Pier, environmental Factors, translocation Factors, hyperaccumulator, mangrove Forest, plant Tissue, minimum Inhibitory Concentration, petroleum, spectrophotometer, clean water, comparative Analysis, full Anneal, steam Turbine Blades, fat, rotation Speed, surrounding environment, cell Number, extraction Plant, physical Parameters, breakwater, underwater Classification, soil Sample, antifouling System, impressed Flow System, steel Structure, sampling Point, and fixed Point."
